S	230.513977140
S	116.076870097
S	47.836828570
S	18.979168661
S	9.453470768
S	7.140305105
S	4.284041993
S	2.031802057
S	1.169460500
S	0.464548885
S	0.237515632
S	0.139444900
S	0.090169327
S	0.035399587
S	0.029939851
P	580.774392018
P	128.800498473
P	105.605012027
P	19.459456281
P	10.002357888
P	6.554937520
P	5.478863574
P	2.415301990
P	1.295886986
P	0.826773015
P	0.272559616
P	0.102162470
P	0.074005776
P	0.046287914
P	0.013118811
D	77.608692073
D	68.350000617
D	31.570438649
D	11.839964756
D	5.374530176
D	3.316890057
D	2.101159646
D	1.163982053
D	0.599019334
D	0.387667996
D	0.157682113
D	0.087971583
D	0.023637507
F	4.120234300
F	2.700469823
F	2.061919593
F	0.744598384
F	0.281123901
F	0.133874052
